RSH #,RSH Lesson,SH,RSH Keyword,RTH Read,TH Read
0001,RSH1-L01,一,one,yī,yī
0002,RSH1-L01,二,two,èr,èr
0003,RSH1-L01,三,three,sān,sān
0004,RSH1-L01,四,four,sì,sì
0005,RSH1-L01,五,five,wǔ,wǔ
0006,RSH1-L01,六,six,liù,liù
0007,RSH1-L01,七,seven,qī,qī
0008,RSH1-L01,八,eight,bā,bā
0009,RSH1-L01,九,nine,jiǔ,jiǔ
0010,RSH1-L01,十,ten,shí,shí
0011,RSH1-L01,口,mouth,kǒu,kǒu
0012,RSH1-L01,日,day,rì,rì
0013,RSH1-L01,月,month,yuè,yuè
0014,RSH1-L01,田,rice field,tián,tián
0015,RSH1-L01,目,eye,mù,mù
0016,RSH1-L02,古,ancient,gǔ,gǔ
0017,RSH1-L02,胡,recklessly,hú,hú|Hú
0018,RSH1-L02,叶,leaf,yè,yè
0019,RSH1-L02,吾,I (literary),wú,wú
0020,RSH1-L02,朋,companion,péng,péng
0021,RSH1-L02,明,bright,míng,míng
0022,RSH1-L02,唱,sing,chàng,chàng
0023,RSH1-L02,晶,sparkling,jīng,jīng
0024,RSH1-L02,品,goods,pǐn,pǐn
0025,RSH1-L02,昌,prosperous,chāng,chāng
0026,RSH1-L02,早,early,zǎo,zǎo
0027,RSH1-L02,旭,rising sun,xù,xù
0028,RSH1-L02,世,generation,shì,shì
0029,RSH1-L02,胃,stomach,wèi,wèi
0030,RSH1-L02,旦,daybreak,dàn,dàn
0031,RSH1-L02,凹,concave,āo,āo|wā
0032,RSH1-L02,凸,convex,tū,tū
0033,RSH1-L03,自,oneself,zì,zì
0034,RSH1-L03,白,white,bái,bái|bó
0035,RSH1-L03,百,hundred,bǎi,bǎi
0036,RSH1-L03,皂,soap,zào,zào
0037,RSH1-L03,旧,old,jiù,jiù
0038,RSH1-L03,中,middle,zhōng,zhōng|zhòng
0039,RSH1-L03,千,thousand,qiān,qiān
0040,RSH1-L03,舌,tongue,shé,shé
0041,RSH1-L03,升,liter,shēng,shēng
0042,RSH1-L03,丸,pill,wán,wán
0043,RSH1-L03,卜,divination,bǔ,bǔ|bo
0044,RSH1-L03,占,tell fortunes,zhān,zhàn|zhān
0045,RSH1-L03,上,above,shàng,shàng|shang|shǎng
0046,RSH1-L03,下,below,xià,xià
0047,RSH1-L03,卡,card,kǎ,kǎ|qiǎ
0048,RSH1-L03,卓,eminent,zhuó,zhuó
0049,RSH1-L03,朝,dynasty,cháo,cháo|zhāo
0050,RSH1-L03,嘲,ridicule,cháo,cháo|zhāo
0051,RSH1-L04,只,only,zhǐ,zhǐ|zhī
0052,RSH1-L04,贝,shellfish,bèi,bèi
0053,RSH1-L04,贴,paste,tiē,tiē
0054,RSH1-L04,贞,chaste,zhēn,zhēn
0055,RSH1-L04,员,employee,yuán,yuán
0056,RSH1-L04,儿,youngster,ér,ér|r
0057,RSH1-L04,几,how many?,jǐ,jǐ|jī
0058,RSH1-L04,见,see,jiàn,jiàn|xiàn
0059,RSH1-L04,元,beginning,yuán,yuán
0060,RSH1-L04,页,page,yè,yè
0061,RSH1-L04,顽,stubborn,wán,wán
0062,RSH1-L04,凡,ordinary,fán,fán
0063,RSH1-L04,肌,muscle,jī,jī
0064,RSH1-L04,负,defeated,fù,fù
0065,RSH1-L04,万,ten thousand,wàn,wàn|Mò
0066,RSH1-L04,匀,uniform,yún,yún
0067,RSH1-L04,句,sentence,jù,jù
0068,RSH1-L04,旬,decameron,xún,xún
0069,RSH1-L04,勺,ladle,sháo,sháo
0070,RSH1-L04,的,bull's eye,de,de
0071,RSH1-L04,首,heads,shǒu,shǒu
0072,RSH1-L05,直,straight,zhí,zhí
0073,RSH1-L05,置,set up,zhì,zhì
0074,RSH1-L05,具,tool,jù,jù
0075,RSH1-L05,真,true,zhēn,zhēn
0076,RSH1-L05,工,work,gōng,gōng
0077,RSH1-L05,左,left,zuǒ,zuǒ
0078,RSH1-L05,右,right,yòu,yòu
0079,RSH1-L05,有,possess,yǒu,yǒu
0080,RSH1-L05,贿,bribe,huì,huì
0081,RSH1-L05,贡,tribute,gòng,gòng
0082,RSH1-L05,项,item,xiàng,xiàng
0083,RSH1-L05,刀,sword,dāo,dāo
0084,RSH1-L05,刃,blade,rèn,rèn
0085,RSH1-L05,切,cut,qiē,qiē|qiè
0086,RSH1-L05,召,summon,zhào,zhào
0087,RSH1-L05,昭,evident,zhāo,zhāo
0088,RSH1-L05,则,rule,zé,zé
0089,RSH1-L05,副,vice-,fù,fù
0090,RSH1-L05,丁,fourth,dīng,dīng|zhēng
0091,RSH1-L05,叮,sting,dīng,dīng
0092,RSH1-L05,可,can,kě,kě|kè
0093,RSH1-L05,哥,older brother,gē,gē
0094,RSH1-L05,顶,crest,dǐng,dǐng
0095,RSH1-L06,乙,second,yǐ,yǐ
0096,RSH1-L06,飞,fly,fēi,fēi
0097,RSH1-L06,子,child,zǐ,zǐ|zi
0098,RSH1-L06,孔,cavity,kǒng,kǒng
0099,RSH1-L06,吼,roar,hǒu,hǒu
0100,RSH1-L06,乱,chaos,luàn,luàn
0101,RSH1-L06,了,(-ed),le,le|liǎo|liào|liāo|liáo
0102,RSH1-L06,女,woman,nǚ,nǚ
0103,RSH1-L06,好,good,hǎo,hǎo|hào|hāo
0104,RSH1-L06,如,be like,rú,rú
0105,RSH1-L06,母,mother,mǔ,mǔ
0106,RSH1-L06,贯,pierce,guàn,guàn
0107,RSH1-L06,兄,elder brother,xiōng,xiōng
0108,RSH1-L06,克,overcome,kè,kè|kēi
0109,RSH1-L07,小,small,xiǎo,xiǎo
0110,RSH1-L07,少,few,shǎo,shǎo|shào
0111,RSH1-L07,吵,noisy,chǎo,chǎo|chāo
0112,RSH1-L07,孙,grandchild,sūn,sūn
0113,RSH1-L07,大,large,dà,dà|dài
0114,RSH1-L07,尖,tip,jiān,jiān
0115,RSH1-L07,夕,evening,xī,xī
0116,RSH1-L07,多,many,duō,duō
0117,RSH1-L07,够,enough,gòu,gòu
0118,RSH1-L07,外,outside,wài,wài
0119,RSH1-L07,名,name,míng,míng
0120,RSH1-L07,罗,silk gauze,luó,luó|luō
0121,RSH1-L07,厂,factory,chǎng,chǎng
0122,RSH1-L07,厅,hall,tīng,tīng
0123,RSH1-L07,厉,stern,lì,lì
